,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate,current_q1,current_q2,reward
0,MetaDrive-Tut-Hard-v0,312,8.936580859548084,1999,2,6.405091285705566,,,,0.0,,,
1,MetaDrive-Tut-Hard-v0,370,8.989061247190847,2999,3,8.091464519500732,,,,0.0,,,
2,MetaDrive-Tut-Hard-v0,397,8.829818817186338,3999,4,10.049328327178955,,,,0.0,,,
3,MetaDrive-Tut-Hard-v0,385,8.638013797714349,4999,5,12.9700026512146,,,,0.0,,,
4,MetaDrive-Tut-Hard-v0,374,8.449263675704923,5999,6,16.025456190109253,,,,0.0,,,
5,MetaDrive-Tut-Hard-v0,383,8.638193389558314,6999,7,18.244277238845825,,,,0.0,,,
6,MetaDrive-Tut-Hard-v0,387,7.668891745850692,7684,8,19.80894136428833,,,,0.0,,,
7,MetaDrive-Tut-Hard-v0,402,7.785344887685314,8684,9,21.574347257614136,,,,0.0,,,
8,MetaDrive-Tut-Hard-v0,408,7.980540164516748,9684,10,23.685238361358643,,,,0.0,,,
9,MetaDrive-Tut-Hard-v0,407,7.225938397192508,10031,11,24.630080938339233,0.011222735047340393,-0.013620694167912006,0.0015691079897806048,0.0,0.011161474511027336,0.04001840204000473,0.008272976614534855
10,MetaDrive-Tut-Hard-v0,291,-0.2355503507347977,11009,59,37.726922273635864,0.021664202213287354,-0.035434313118457794,0.3830840289592743,0.0,0.04019844904541969,0.039009783416986465,-0.02106272429227829
