,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,current_q1,current_q2,reward
0,Pendulum-v1,1211,-1271.428844710983,1199,6,0.989647388458252,8.775602340698242,0.6568974256515503,-8.924471855163574,-8.927374839782715,-8.903214454650879,-6.464799404144287
1,Pendulum-v1,414,-1387.6068336129463,2199,11,5.309729337692261,23.6563663482666,2.71272611618042,-23.73027801513672,-23.845186233520508,-23.865079879760742,-7.033480644226074
2,Pendulum-v1,332,-1404.293140345922,3199,16,9.63442587852478,37.300437927246094,22.57301902770996,-37.77207946777344,-37.37294006347656,-37.381107330322266,-6.867177963256836
3,Pendulum-v1,301,-1370.3005831517107,4199,21,13.91448450088501,50.728416442871094,1.13535737991333,-51.610145568847656,-51.223915100097656,-51.17149353027344,-6.695643901824951
4,Pendulum-v1,286,-1317.2706440413053,5199,26,18.178786516189575,63.86335754394531,35.00469970703125,-64.64567565917969,-64.31816101074219,-64.27320861816406,-6.702502250671387
5,Pendulum-v1,276,-1218.9308728064486,6199,31,22.448710680007935,72.51033782958984,90.39193725585938,-73.38818359375,-73.26980590820312,-73.139892578125,-6.266312599182129
6,Pendulum-v1,268,-1140.4585190066102,7199,36,26.76677680015564,79.68289184570312,102.11215209960938,-79.9405517578125,-80.45254516601562,-80.3612289428711,-5.904686450958252
7,Pendulum-v1,263,-1041.511129228863,8199,41,31.07546377182007,82.55802154541016,17.636940002441406,-83.45780944824219,-83.5606918334961,-83.52879333496094,-5.429126739501953
8,Pendulum-v1,259,-952.8098618729373,9199,46,35.40052914619446,81.82676696777344,181.67315673828125,-83.12004089355469,-83.41346740722656,-83.32366943359375,-4.978968620300293
9,Pendulum-v1,256,-877.257485833353,10199,51,39.697405099868774,80.60115051269531,18.949642181396484,-84.15254974365234,-81.64396667480469,-81.92283630371094,-4.557409286499023
10,Pendulum-v1,254,-814.8278233467711,11199,56,44.09058403968811,78.26249694824219,5.741232395172119,-79.35428619384766,-79.46598052978516,-79.49000549316406,-3.9599437713623047
11,Pendulum-v1,252,-767.9434763031886,12199,61,48.37096071243286,82.01038360595703,6.644513130187988,-83.537353515625,-83.62644958496094,-83.35063934326172,-4.074760437011719
12,Pendulum-v1,250,-722.0534189921822,13199,66,52.714399576187134,71.3873291015625,118.29180145263672,-72.10552978515625,-72.30914306640625,-72.9800796508789,-3.208296775817871
13,Pendulum-v1,248,-678.0873982555833,14199,71,57.02558422088623,76.0483169555664,428.3995361328125,-75.5317153930664,-77.74324798583984,-77.26506042480469,-3.3604893684387207
14,Pendulum-v1,247,-646.5154536398343,15199,76,61.3495512008667,81.18682098388672,30.7254638671875,-83.0428466796875,-80.97569274902344,-81.48157501220703,-3.2823424339294434
15,Pendulum-v1,246,-617.0477862758362,16199,81,65.66531085968018,66.10578918457031,92.64923858642578,-68.26783752441406,-67.40900421142578,-67.48806762695312,-2.6807026863098145
16,Pendulum-v1,245,-593.8648279476547,17199,86,70.06350255012512,68.62713623046875,632.4332275390625,-67.65255737304688,-69.95874786376953,-69.77398681640625,-3.1448490619659424
17,Pendulum-v1,244,-565.482858189073,18199,91,74.4337146282196,78.08499145507812,13.459897994995117,-79.11705017089844,-80.17478942871094,-79.336669921875,-2.9607179164886475
18,Pendulum-v1,243,-545.2494144672239,19199,96,78.79638242721558,58.3424186706543,7.323155879974365,-59.740814208984375,-60.07551956176758,-59.34600830078125,-2.1656363010406494
19,Pendulum-v1,243,-518.408384444839,20199,101,83.09315085411072,73.71401977539062,13.475266456604004,-76.00301361083984,-74.97052001953125,-74.87934112548828,-2.8202741146087646
20,Pendulum-v1,242,-466.24489165986284,21199,106,87.41935276985168,59.00947570800781,11.333837509155273,-60.45899200439453,-61.520835876464844,-61.182037353515625,-2.2944183349609375
21,Pendulum-v1,241,-396.2170898935264,22199,111,91.75765299797058,50.95551300048828,12.567326545715332,-52.15016555786133,-52.2415657043457,-51.05955505371094,-2.0077850818634033
22,Pendulum-v1,241,-335.5720885027255,23199,116,96.065753698349,71.00892639160156,124.31521606445312,-72.29167175292969,-72.4968490600586,-73.41390991210938,-2.6579701900482178
23,Pendulum-v1,240,-279.788680555645,24199,121,100.41177272796631,65.86064910888672,8.830327033996582,-67.72025299072266,-68.14607238769531,-67.41871643066406,-2.8864669799804688
