Using cpu device
c:\Users\Colton\anaconda3\envs\cs260r\Lib\site-packages\stable_baselines3\ppo\ppo.py:155: UserWarning: You have specified a mini-batch size of 256, but because the `RolloutBuffer` is of size `n_steps * n_envs = 5000`, after every 19 untruncated mini-batches, there will be a truncated mini-batch of size 136
We recommend using a `batch_size` that is a factor of `n_steps * n_envs`.
Info: (n_steps=500 and n_envs=10)
  warnings.warn(
Logging to runs\ppo_metadrive\ppo_metadrive_2025-03-16_17-43-31_a51009e7\ppo_metadrive_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 92       |
|    ep_rew_mean     | -2.64    |
| time/              |          |
|    fps             | 1439     |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 5000     |
---------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0            |
|    max_step             | 0            |
|    mean_ep_length       | 206          |
|    mean_reward          | 47.9         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.033996757  |
|    route_completion     | 0.17         |
|    success_rate         | 0            |
|    total_cost           | 1            |
| time/                   |              |
|    total_timesteps      | 10000        |
| train/                  |              |
|    approx_kl            | 0.0026634517 |
|    clip_fraction        | 0.175        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.84        |
|    explained_variance   | -0.0353      |
|    learning_rate        | 5e-05        |
|    loss                 | 0.00569      |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00759     |
|    std                  | 1            |
|    value_loss           | 0.0603       |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 348      |
|    ep_rew_mean     | -1.29    |
| time/              |          |
|    fps             | 932      |
|    iterations      | 2        |
|    time_elapsed    | 10       |
|    total_timesteps | 10000    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 984         |
|    ep_rew_mean          | 8.19        |
| time/                   |             |
|    fps                  | 982         |
|    iterations           | 3           |
|    time_elapsed         | 15          |
|    total_timesteps      | 15000       |
| train/                  |             |
|    approx_kl            | 0.003381066 |
|    clip_fraction        | 0.228       |
|    clip_range           | 0.1         |
|    entropy_loss         | -2.83       |
|    explained_variance   | 0.0133      |
|    learning_rate        | 5e-05       |
|    loss                 | 0.0173      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00965    |
|    std                  | 0.994       |
|    value_loss           | 0.0699      |
-----------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.1          |
|    max_step             | 0            |
|    mean_ep_length       | 105          |
|    mean_reward          | 34.6         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.058816493  |
|    route_completion     | 0.158        |
|    success_rate         | 0            |
|    total_cost           | 1            |
| time/                   |              |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0021977765 |
|    clip_fraction        | 0.128        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.82        |
|    explained_variance   | -0.0191      |
|    learning_rate        | 5e-05        |
|    loss                 | 0.0236       |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00328     |
|    std                  | 0.99         |
|    value_loss           | 0.22         |
------------------------------------------
---------------------------------
| rollout/           |          |
