Using cpu device
Logging to runs\ppo_metadrive_10_scenarios\ppo_metadrive_10_scenarios_2025-03-18_18-59-30_e347670b\ppo_metadrive_10_scenarios_1
-----------------------------
| time/              |      |
|    fps             | 1516 |
|    iterations      | 1    |
|    time_elapsed    | 1    |
|    total_timesteps | 2560 |
-----------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 412         |
|    ep_rew_mean          | 0.309       |
| time/                   |             |
|    fps                  | 1230        |
|    iterations           | 2           |
|    time_elapsed         | 4           |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.003889536 |
|    clip_fraction        | 0.23        |
|    clip_range           | 0.1         |
|    entropy_loss         | -2.83       |
|    explained_variance   | -0.019      |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0101     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0133     |
|    std                  | 0.996       |
|    value_loss           | 0.019       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 428          |
|    ep_rew_mean          | 0.81         |
| time/                   |              |
|    fps                  | 1162         |
|    iterations           | 3            |
|    time_elapsed         | 6            |
|    total_timesteps      | 7680         |
| train/                  |              |
|    approx_kl            | 0.0018267334 |
|    clip_fraction        | 0.0792       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -0.00206     |
|    learning_rate        | 5e-05        |
|    loss                 | 0.13         |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00212     |
|    std                  | 0.997        |
|    value_loss           | 0.45         |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.2          |
|    max_step             | 0            |
|    mean_ep_length       | 132          |
|    mean_reward          | 42.8         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.11026177   |
|    route_completion     | 0.133        |
|    success_rate         | 0            |
|    total_cost           | 1            |
| time/                   |              |
|    total_timesteps      | 10000        |
| train/                  |              |
|    approx_kl            | 0.0015184814 |
|    clip_fraction        | 0.0754       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.00327      |
|    learning_rate        | 5e-05        |
|    loss                 | 0.103        |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00211     |
|    std                  | 0.998        |
|    value_loss           | 0.279        |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 556      |
|    ep_rew_mean     | 2.75     |
| time/              |          |
|    fps             | 920      |
|    iterations      | 4        |
|    time_elapsed    | 11       |
|    total_timesteps | 10240    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 544          |
|    ep_rew_mean          | 2.66         |
| time/                   |              |
|    fps                  | 971          |
|    iterations           | 5            |
|    time_elapsed         | 13           |
|    total_timesteps      | 12800        |
| train/                  |              |
|    approx_kl            | 0.0014814746 |
|    clip_fraction        | 0.0605       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.0164       |
|    learning_rate        | 5e-05        |
|    loss                 | 0.314        |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00145     |
|    std                  | 0.997        |
|    value_loss           | 0.393        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 536          |
|    ep_rew_mean          | 2.61         |
| time/                   |              |
|    fps                  | 1013         |
|    iterations           | 6            |
|    time_elapsed         | 15           |
|    total_timesteps      | 15360        |
| train/                  |              |
|    approx_kl            | 0.0026288365 |
|    clip_fraction        | 0.157        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.82        |
|    explained_variance   | 0.00174      |
|    learning_rate        | 5e-05        |
|    loss                 | 0.0416       |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00652     |
|    std                  | 0.989        |
|    value_loss           | 0.148        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 494          |
|    ep_rew_mean          | 2.87         |
| time/                   |              |
|    fps                  | 1015         |
|    iterations           | 7            |
|    time_elapsed         | 17           |
|    total_timesteps      | 17920        |
| train/                  |              |
|    approx_kl            | 0.0031261798 |
|    clip_fraction        | 0.206        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.81        |
|    explained_variance   | 0.0389       |
|    learning_rate        | 5e-05        |
|    loss                 | 0.079        |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00756     |
|    std                  | 0.984        |
|    value_loss           | 0.143        |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.1          |
|    max_step             | 0            |
|    mean_ep_length       | 133          |
|    mean_reward          | 102          |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.16777256   |
|    route_completion     | 0.225        |
|    success_rate         | 0            |
|    total_cost           | 1.6          |
| time/                   |              |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0023117517 |
|    clip_fraction        | 0.134        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.8         |
|    explained_variance   | -0.00368     |
|    learning_rate        | 5e-05        |
|    loss                 | 0.174        |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.0033      |
|    std                  | 0.983        |
|    value_loss           | 0.474        |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 588      |
|    ep_rew_mean     | 5.67     |
| time/              |          |
|    fps             | 944      |
|    iterations      | 8        |
|    time_elapsed    | 21       |
|    total_timesteps | 20480    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 604          |
|    ep_rew_mean          | 6.55         |
| time/                   |              |
|    fps                  | 953          |
|    iterations           | 9            |
|    time_elapsed         | 24           |
|    total_timesteps      | 23040        |
| train/                  |              |
|    approx_kl            | 0.0018127238 |
|    clip_fraction        | 0.0797       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.8         |
|    explained_variance   | 0.0364       |
|    learning_rate        | 5e-05        |
|    loss                 | 0.23         |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.00208     |
|    std                  | 0.981        |
|    value_loss           | 0.373        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 625          |
|    ep_rew_mean          | 8.02         |
| time/                   |              |
|    fps                  | 958          |
|    iterations           | 10           |
|    time_elapsed         | 26           |
