Using cpu device
Logging to runs\ppo_metadrive_10_scenarios\ppo_metadrive_10_scenarios_2025-03-19_12-18-01_c4e7621c\ppo_metadrive_10_scenarios_1
-----------------------------
| time/              |      |
|    fps             | 1412 |
|    iterations      | 1    |
|    time_elapsed    | 1    |
|    total_timesteps | 2560 |
-----------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 397        |
|    ep_rew_mean          | -0.97      |
| time/                   |            |
|    fps                  | 1194       |
|    iterations           | 2          |
|    time_elapsed         | 4          |
|    total_timesteps      | 5120       |
| train/                  |            |
|    approx_kl            | 0.00389062 |
|    clip_fraction        | 0.22       |
|    clip_range           | 0.1        |
|    entropy_loss         | -2.84      |
|    explained_variance   | -0.0263    |
|    learning_rate        | 5e-05      |
|    loss                 | -0.00838   |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.014     |
|    std                  | 0.998      |
|    value_loss           | 0.0107     |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 497          |
|    ep_rew_mean          | 0.575        |
| time/                   |              |
|    fps                  | 1132         |
|    iterations           | 3            |
|    time_elapsed         | 6            |
|    total_timesteps      | 7680         |
| train/                  |              |
|    approx_kl            | 0.0012695368 |
|    clip_fraction        | 0.0358       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.0137       |
|    learning_rate        | 5e-05        |
|    loss                 | 0.217        |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.000712    |
|    std                  | 0.997        |
|    value_loss           | 0.304        |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0            |
|    max_step             | 0            |
|    mean_ep_length       | 67.6         |
|    mean_reward          | 9.54         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.08253882   |
|    route_completion     | 0.0547       |
|    success_rate         | 0            |
|    total_cost           | 1            |
| time/                   |              |
|    total_timesteps      | 10000        |
| train/                  |              |
|    approx_kl            | 0.0030311928 |
|    arrive_dest          | 0            |
|    clip_fraction        | 0.164        |
|    clip_range           | 0.1          |
|    crash                | 0            |
|    entropy_loss         | -2.83        |
|    explained_variance   | -0.00567     |
|    learning_rate        | 5e-05        |
|    loss                 | 0.0356       |
|    max_step             | 0            |
|    n_updates            | 60           |
|    out_of_road          | 1            |
|    policy_gradient_loss | -0.00392     |
|    route_completion     | 0.113        |
|    std                  | 0.998        |
|    total_cost           | 1            |
|    value_loss           | 0.237        |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 551      |
|    ep_rew_mean     | 1.59     |
| time/              |          |
|    fps             | 784      |
|    iterations      | 4        |
|    time_elapsed    | 13       |
|    total_timesteps | 10240    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 495         |
|    ep_rew_mean          | 1.39        |
| time/                   |             |
|    fps                  | 846         |
|    iterations           | 5           |
|    time_elapsed         | 15          |
|    total_timesteps      | 12800       |
| train/                  |             |
|    approx_kl            | 0.003623811 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.1         |
|    entropy_loss         | -2.83       |
|    explained_variance   | -0.0389     |
|    learning_rate        | 5e-05       |
|    loss                 | 0.0387      |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0065     |
|    std                  | 0.996       |
|    value_loss           | 0.149       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 442          |
|    ep_rew_mean          | 1.61         |
| time/                   |              |
|    fps                  | 885          |
|    iterations           | 6            |
|    time_elapsed         | 17           |
|    total_timesteps      | 15360        |
| train/                  |              |
|    approx_kl            | 0.0030620166 |
|    clip_fraction        | 0.208        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.82        |
|    explained_variance   | 0.00639      |
|    learning_rate        | 5e-05        |
|    loss                 | 0.0198       |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00705     |
|    std                  | 0.991        |
|    value_loss           | 0.14         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 483          |
|    ep_rew_mean          | 4.25         |
| time/                   |              |
|    fps                  | 915          |
|    iterations           | 7            |
|    time_elapsed         | 19           |
|    total_timesteps      | 17920        |
| train/                  |              |
|    approx_kl            | 0.0022754767 |
|    clip_fraction        | 0.117        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.82        |
|    explained_variance   | 0.0028       |
|    learning_rate        | 5e-05        |
|    loss                 | 0.0169       |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.0035      |
|    std                  | 0.988        |
|    value_loss           | 0.267        |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0            |
|    max_step             | 0            |
|    mean_ep_length       | 53.4         |
|    mean_reward          | 15.7         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.13814469   |
|    route_completion     | 0.0648       |
|    success_rate         | 0            |
|    total_cost           | 1            |
| time/                   |              |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0020089336 |
|    arrive_dest          | 0            |
|    clip_fraction        | 0.118        |
|    clip_range           | 0.1          |
|    crash                | 0            |
|    entropy_loss         | -2.81        |
|    explained_variance   | -0.00957     |
|    learning_rate        | 5e-05        |
|    loss                 | 0.325        |
|    max_step             | 0            |
|    n_updates            | 140          |
|    out_of_road          | 1            |
|    policy_gradient_loss | -0.00261     |
|    route_completion     | 0.118        |
|    std                  | 0.986        |
|    total_cost           | 1            |
|    value_loss           | 0.686        |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 407      |
|    ep_rew_mean     | 5.21     |
| time/              |          |
|    fps             | 779      |
|    iterations      | 8        |
|    time_elapsed    | 26       |
|    total_timesteps | 20480    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 354          |
|    ep_rew_mean          | 4.74         |
| time/                   |              |
|    fps                  | 796          |
|    iterations           | 9            |
|    time_elapsed         | 28           |
|    total_timesteps      | 23040        |
| train/                  |              |
|    approx_kl            | 0.0011651834 |
|    clip_fraction        | 0.0277       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.81        |
|    explained_variance   | 0.0021       |
