Using cpu device
Logging to runs\ppo_metadrive_1_scenarios\ppo_metadrive_1_scenarios_2025-03-19_11-26-57_846e726e\ppo_metadrive_1_scenarios_1
-----------------------------
| time/              |      |
|    fps             | 1504 |
|    iterations      | 1    |
|    time_elapsed    | 1    |
|    total_timesteps | 2560 |
-----------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 273         |
|    ep_rew_mean          | -2.95       |
| time/                   |             |
|    fps                  | 1452        |
|    iterations           | 2           |
|    time_elapsed         | 3           |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.003938312 |
|    clip_fraction        | 0.212       |
|    clip_range           | 0.1         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 0.0198      |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0121     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.014      |
|    std                  | 0.998       |
|    value_loss           | 0.00936     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 486          |
|    ep_rew_mean          | 1.66         |
| time/                   |              |
|    fps                  | 1401         |
|    iterations           | 3            |
|    time_elapsed         | 5            |
|    total_timesteps      | 7680         |
| train/                  |              |
|    approx_kl            | 0.0036749088 |
|    clip_fraction        | 0.245        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.84        |
|    explained_variance   | 0.00693      |
|    learning_rate        | 5e-05        |
|    loss                 | 0.0771       |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00784     |
|    std                  | 0.999        |
|    value_loss           | 0.116        |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0            |
|    max_step             | 0            |
|    mean_ep_length       | 101          |
|    mean_reward          | 31.2         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.1360601    |
|    route_completion     | 0.129        |
|    success_rate         | 0            |
|    total_cost           | 1            |
| time/                   |              |
|    total_timesteps      | 10000        |
| train/                  |              |
|    approx_kl            | 0.0024591184 |
|    arrive_dest          | 0            |
|    clip_fraction        | 0.138        |
|    clip_range           | 0.1          |
|    crash                | 0            |
|    entropy_loss         | -2.84        |
|    explained_variance   | -0.000145    |
|    learning_rate        | 5e-05        |
|    loss                 | 0.0482       |
|    max_step             | 0            |
|    n_updates            | 60           |
|    out_of_road          | 1            |
|    policy_gradient_loss | -0.00284     |
|    route_completion     | 0.0766       |
|    std                  | 1            |
|    total_cost           | 1            |
|    value_loss           | 0.323        |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 443      |
|    ep_rew_mean     | 1.31     |
| time/              |          |
|    fps             | 1133     |
|    iterations      | 4        |
|    time_elapsed    | 9        |
|    total_timesteps | 10240    |
---------------------------------
----------------------------------------
| rollout/                |            |
