Using cpu device
Logging to runs\ppo_metadrive_3_scenarios\ppo_metadrive_3_scenarios_2025-03-19_11-51-58_05a7eeff\ppo_metadrive_3_scenarios_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 190      |
|    ep_rew_mean     | -2.59    |
| time/              |          |
|    fps             | 1162     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 2560     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 190          |
|    ep_rew_mean          | -2.59        |
| time/                   |              |
|    fps                  | 1245         |
|    iterations           | 2            |
|    time_elapsed         | 4            |
|    total_timesteps      | 5120         |
| train/                  |              |
|    approx_kl            | 0.0006942424 |
|    clip_fraction        | 0.00303      |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.84        |
|    explained_variance   | -0.00423     |
|    learning_rate        | 5e-05        |
|    loss                 | 0.205        |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.000353    |
|    std                  | 1            |
|    value_loss           | 0.254        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 279          |
|    ep_rew_mean          | -1.58        |
| time/                   |              |
|    fps                  | 1113         |
|    iterations           | 3            |
|    time_elapsed         | 6            |
|    total_timesteps      | 7680         |
| train/                  |              |
|    approx_kl            | 0.0034134865 |
|    clip_fraction        | 0.217        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.84        |
|    explained_variance   | -0.142       |
|    learning_rate        | 5e-05        |
|    loss                 | -0.00819     |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.0119      |
|    std                  | 0.998        |
|    value_loss           | 0.0113       |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0            |
|    max_step             | 0            |
|    mean_ep_length       | 147          |
|    mean_reward          | 37.3         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.08115618   |
|    route_completion     | 0.137        |
|    success_rate         | 0            |
|    total_cost           | 1            |
| time/                   |              |
|    total_timesteps      | 10000        |
| train/                  |              |
|    approx_kl            | 0.0016157262 |
|    arrive_dest          | 0            |
|    clip_fraction        | 0.0608       |
|    clip_range           | 0.1          |
|    crash                | 0            |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.0045       |
|    learning_rate        | 5e-05        |
|    loss                 | 0.15         |
|    max_step             | 0            |
|    n_updates            | 60           |
|    out_of_road          | 1            |
|    policy_gradient_loss | -0.00206     |
|    route_completion     | 0.0876       |
|    std                  | 0.993        |
|    total_cost           | 1            |
|    value_loss           | 0.29         |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 279      |
|    ep_rew_mean     | -1.58    |
| time/              |          |
|    fps             | 842      |
|    iterations      | 4        |
