Using cpu device
Logging to runs\ppo_metadrive_500_scenarios\ppo_metadrive_500_scenarios_2025-03-19_14-27-44_7a2b10a5\ppo_metadrive_500_scenarios_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 226      |
|    ep_rew_mean     | -3.09    |
| time/              |          |
|    fps             | 1342     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 2560     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 382          |
|    ep_rew_mean          | -0.613       |
| time/                   |              |
|    fps                  | 1239         |
|    iterations           | 2            |
|    time_elapsed         | 4            |
|    total_timesteps      | 5120         |
| train/                  |              |
|    approx_kl            | 0.0036057502 |
|    clip_fraction        | 0.177        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -0.00299     |
|    learning_rate        | 5e-05        |
|    loss                 | 0.0779       |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.0064      |
|    std                  | 0.997        |
|    value_loss           | 0.0729       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 365         |
|    ep_rew_mean          | -0.109      |
| time/                   |             |
|    fps                  | 1169        |
|    iterations           | 3           |
|    time_elapsed         | 6           |
|    total_timesteps      | 7680        |
| train/                  |             |
|    approx_kl            | 0.002844929 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.1         |
|    entropy_loss         | -2.83       |
|    explained_variance   | 0.0144      |
|    learning_rate        | 5e-05       |
|    loss                 | 0.0852      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00388    |
|    std                  | 0.996       |
|    value_loss           | 0.129       |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    arrive_dest          | 0           |
|    crash                | 0           |
|    max_step             | 0           |
|    mean_ep_length       | 90.2        |
|    mean_reward          | 24          |
|    num_episodes         | 5           |
|    out_of_road          | 1           |
|    raw_action           | 0.103061415 |
|    route_completion     | 0.109       |
|    success_rate         | 0           |
|    total_cost           | 1           |
| time/                   |             |
|    total_timesteps      | 10000       |
| train/                  |             |
|    approx_kl            | 0.004410671 |
|    arrive_dest          | 0           |
|    clip_fraction        | 0.256       |
|    clip_range           | 0.1         |
|    crash                | 0           |
|    entropy_loss         | -2.83       |
|    explained_variance   | 0.0332      |
|    learning_rate        | 5e-05       |
|    loss                 | 0.015       |
|    max_step             | 0           |
|    n_updates            | 60          |
|    out_of_road          | 1           |
|    policy_gradient_loss | -0.00656    |
|    route_completion     | 0.112       |
|    std                  | 0.994       |
|    total_cost           | 1           |
|    value_loss           | 0.133       |
