#{"t_start": 1742451683.246128, "env_id": "None"}
r,l,t
83.580689,156,33.814203
22.35194,956,43.017806
770.668949,115,47.3360085165.162187,97,55.5673650.09359,73,72.075157
69.066.403344,81,89.098312.312.455091,34,106.562728.034.62407,52,126.8790360.899114,74,150.425411
65.286638,68,174.633394
132.376337,96,200.657925
3076.65458,73,230.041718
209.356018,347,233.095544
76.9363,79,261.254709
59.013818,65,287.629681
69.126394,74,288.507108
58.214398,65,312.626233
68.505068,78,341.634303
113.920027,89,342.478944
133.160676,98,363.428011
262.389483,221,382.476797
124.615155,96,400.7688
73.911021,74,401.6167231368.93979,78,422.229932
251.769748,161,440.188187
178.929356,340,441.86842
1275.040862,357,461.853251
102.444366,92,479.455168
56.8038,63,480.067269
130.926419,100,481.17701
68.511253,74,481.98874
58.240133869.320352,79,498.700183
163.23474,68,520.970953
58.297762,64,538.168766
73193.257568,158,53148.46753668.020779,73,558.232.249846,285,560.382176
58.2777.409156,230,580.05171.306459,130,600.3606300.145.653813,109,629.666066
60.43367,66,648.504444
83.924389,342,668.395117
184.268307,135,687.366328
67.838816,79,688.150233
68.097219,73,709.740294
92.325143,85,710.679712
60.469221,67,728.795214
207.098733,173,729.932107
84.812826,86,748.303752
74.822165,78,748.693643
150.943107,132,766.086778
174.098678,131,783.465767
153.453868,115,805.691776
126.706699,316,826.617887
66.821085,74,841.760669
515.227659,313,858.991894
134.537271,104,878.661724
117.110989,98,898.305636
73.5743,79,916.945317
176.024386,133,917.671633
68.509383,74,918.148981
61.933932,68,934.263146
150.878679,114,954.917848
212.942843,324,975.497107
131.149057,99,993.121331
264.581725,255,1011.617858
57.286693,65,1031.676922
68.154808,77,1052.25423
167.331562,169,1073.552433
68.497406,76,1092.378209
58.69257,68,1111.219121
55.78131,64,1128.989989
59.281361,67,1129.38099
104.150009,130,1130.366075
345.331597,220,1147.376832
164.536079,124,1162.954782
131.102079,103,1163.642897
73.410328,76,1181.467972
129.7266,104,1182.184969
125.979145,101,1183.218745
211.857132,147,1202.557972
57.773069,67,1220.065258
68.304781,76,1220.522712
265.461225,334,1241.085872
228.813887,175,1260.91381
113.723454,99,1261.596607
133.988409,105,1276.901066
59.307054,68,1277.358197
267.351939,170,1293.847026
68.323323,74,1294.336642
69.071772,81,1312.529809
116.278912,99,1313.178189
267.064973,185,1328.965119
58.571391,65,1343.456983
58.978693,68,1344.241041
68.686938,80,1365.561872
150.852264,106,1366.136144
68.950021,77,1382.76936
68.656457,72,1383.19201
131.453351,101,1383.973933
99.688335,98,1384.687553
198.261277,159,1407.846848
56.480215,67,1426.547968
59.483819,67,1427.081318
59.197723,68,1445.901262
292.556819,186,1447.07252
112.818628,99,1462.335476
60.671677,67,1484.350304
62.926784,70,1484.894877
152.826211,129,1504.654839
128.373911,103,1505.380768
56.101063,68,15121.341.216149.894092,127,15246208.439775,384,1528.650755.8283.89269.087293,217,1545.45270.597498,191,1546.886458
131.781107,104,1561.004383
60.782841,67,1579.579438
147.524478,105,1580.211508
14246.099759,320,1598.640521
129.319589,344,1617.087114
59.548852,66,1649.375714
195.742514,144,1667.046159
57.442816,64,1667.508663
