Using cpu device
Loading checkpoint from C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\mini_project\runs\ppo_metadrive_new_reward_5000\ppo_metadrive_new_reward_5000_2025-03-20_09-12-37_679e3d6f\models\rl_model_1300000_steps.zip!
Logging to runs\ppo_metadrive_new_reward_5000\ppo_metadrive_new_reward_5000_2025-03-20_10-44-32_97412f1e\ppo_metadrive_new_reward_5000_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 370      |
|    ep_rew_mean     | 325      |
| time/              |          |
|    fps             | 772      |
|    iterations      | 1        |
|    time_elapsed    | 6        |
|    total_timesteps | 5120     |
---------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.4          |
|    max_step             | 0            |
|    mean_ep_length       | 197          |
|    mean_reward          | 179          |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.44354254   |
|    route_completion     | 0.55         |
|    success_rate         | 0.1          |
|    total_cost           | 30.6         |
| time/                   |              |
|    total_timesteps      | 10000        |
| train/                  |              |
|    approx_kl            | 0.0011008839 |
|    arrive_dest          | 0.2          |
|    clip_fraction        | 0.135        |
|    clip_range           | 0.1          |
|    crash                | 0.4          |
|    entropy_loss         | -1.91        |
|    explained_variance   | 0.776        |
|    learning_rate        | 5e-05        |
|    loss                 | 83.1         |
|    max_step             | 0            |
|    n_updates            | 20           |
|    out_of_road          | 0.8          |
|    policy_gradient_loss | -0.000767    |
|    route_completion     | 0.615        |
|    std                  | 0.647        |
|    total_cost           | 17           |
|    value_loss           | 120          |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 362      |
|    ep_rew_mean     | 321      |
| time/              |          |
|    fps             | 391      |
|    iterations      | 2        |
|    time_elapsed    | 26       |
|    total_timesteps | 10240    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 353         |
|    ep_rew_mean          | 316         |
| time/                   |             |
|    fps                  | 459         |
|    iterations           | 3           |
|    time_elapsed         | 33          |
|    total_timesteps      | 15360       |
| train/                  |             |
|    approx_kl            | 0.017673183 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.1         |
|    entropy_loss         | -1.91       |
|    explained_variance   | 0.755       |
|    learning_rate        | 5e-05       |
|    loss                 | 89.1        |
|    n_updates            | 40          |
|    policy_gradient_loss | 0.000517    |
|    std                  | 0.647       |
|    value_loss           | 195         |
-----------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0.2          |
|    crash                | 0.2          |
|    max_step             | 0            |
|    mean_ep_length       | 164          |
|    mean_reward          | 238          |
|    num_episodes         | 5            |
|    out_of_road          | 0.8          |
|    raw_action           | 0.45574346   |
|    route_completion     | 0.607        |
|    success_rate         | 0.2          |
|    total_cost           | 16.6         |
| time/                   |              |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0016996687 |
|    arrive_dest          | 0.1          |
|    clip_fraction        | 0.135        |
|    clip_range           | 0.1          |
|    crash                | 0.4          |
|    entropy_loss         | -1.91        |
|    explained_variance   | 0.698        |
|    learning_rate        | 5e-05        |
|    loss                 | 88.8         |
|    max_step             | 0            |
|    n_updates            | 60           |
|    out_of_road          | 0.9          |
|    policy_gradient_loss | -0.000297    |
|    route_completion     | 0.482        |
|    std                  | 0.647        |
|    total_cost           | 9            |
|    value_loss           | 160          |
------------------------------------------
---------------------------------
| rollout/           |          |
