Using cpu device
Logging to runs\ppo_metadrive_new_reward_50000\ppo_metadrive_new_reward_50000_2025-03-20_10-21-40_60563029\ppo_metadrive_new_reward_50000_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 506      |
|    ep_rew_mean     | 2.93     |
| time/              |          |
|    fps             | 1516     |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 5120     |
---------------------------------
-----------------------------------------
| eval/                   |             |
|    arrive_dest          | 0           |
|    crash                | 0.2         |
|    max_step             | 0           |
|    mean_ep_length       | 151         |
|    mean_reward          | 28.4        |
|    num_episodes         | 5           |
|    out_of_road          | 1           |
|    raw_action           | 0.04646224  |
|    route_completion     | 0.103       |
|    success_rate         | 0           |
|    total_cost           | 1           |
| time/                   |             |
|    total_timesteps      | 10000       |
| train/                  |             |
|    approx_kl            | 0.002968752 |
|    arrive_dest          | 0           |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.1         |
|    crash                | 0           |
|    entropy_loss         | -2.83       |
|    explained_variance   | -0.00231    |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0147     |
|    max_step             | 0           |
|    n_updates            | 20          |
|    out_of_road          | 1           |
|    policy_gradient_loss | -0.00774    |
|    route_completion     | 0.148       |
|    std                  | 0.996       |
|    total_cost           | 3.2         |
|    value_loss           | 0.0383      |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 430      |
|    ep_rew_mean     | 27.7     |
| time/              |          |
|    fps             | 788      |
|    iterations      | 2        |
|    time_elapsed    | 12       |
|    total_timesteps | 10240    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 466          |
|    ep_rew_mean          | 24.6         |
| time/                   |              |
|    fps                  | 915          |
|    iterations           | 3            |
|    time_elapsed         | 16           |
|    total_timesteps      | 15360        |
| train/                  |              |
|    approx_kl            | 0.0034079049 |
|    clip_fraction        | 0.208        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.0257       |
|    learning_rate        | 5e-05        |
|    loss                 | -0.000759    |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00925     |
|    std                  | 0.998        |
|    value_loss           | 0.0355       |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.1          |
|    max_step             | 0            |
|    mean_ep_length       | 128          |
|    mean_reward          | 51.6         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.07364347   |
|    route_completion     | 0.143        |
|    success_rate         | 0            |
|    total_cost           | 1            |
| time/                   |              |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0036066421 |
|    arrive_dest          | 0            |
|    clip_fraction        | 0.193        |
|    clip_range           | 0.1          |
|    crash                | 0            |
|    entropy_loss         | -2.83        |
|    explained_variance   | -0.0415      |
|    learning_rate        | 5e-05        |
|    loss                 | 0.0198       |
|    max_step             | 0            |
|    n_updates            | 60           |
|    out_of_road          | 1            |
|    policy_gradient_loss | -0.00788     |
|    route_completion     | 0.134        |
|    std                  | 0.995        |
|    total_cost           | 2.1          |
|    value_loss           | 0.0542       |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 409      |
|    ep_rew_mean     | 26.3     |
| time/              |          |
|    fps             | 778      |
|    iterations      | 4        |
