Using cpu device
--------------------------------------
| eval/               |              |
|    arrive_dest      | 0            |
|    crash            | 0            |
|    max_step         | 0            |
|    mean_ep_length   | 387          |
|    mean_reward      | 49.5         |
|    num_episodes     | 5            |
|    out_of_road      | 1            |
|    raw_action       | 0.0027827453 |
|    route_completion | 0.184        |
|    success_rate     | 0            |
|    total_cost       | 1            |
| time/               |              |
|    total_timesteps  | 10000        |
| train/              |              |
|    actor_loss       | -7.41        |
|    critic_loss      | 0.0194       |
|    ent_coef         | 0.743        |
|    ent_coef_loss    | -0.998       |
|    learning_rate    | 0.0003       |
|    n_updates        | 989          |
--------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.18e+03 |
|    ep_rew_mean     | 5.98     |
| time/              |          |
|    episodes        | 1        |
|    fps             | 503      |
|    time_elapsed    | 23       |
|    total_timesteps | 11770    |
| train/             |          |
|    actor_loss      | -8.12    |
|    critic_loss     | 0.0147   |
|    ent_coef        | 0.705    |
|    ent_coef_loss   | -1.18    |
|    learning_rate   | 0.0003   |
|    n_updates       | 1166     |
---------------------------------
--------------------------------------
| eval/               |              |
|    arrive_dest      | 0            |
|    crash            | 0            |
|    max_step         | 0            |
|    mean_ep_length   | 377          |
|    mean_reward      | 41.1         |
|    num_episodes     | 5            |
|    out_of_road      | 1            |
|    raw_action       | 0.0033416706 |
|    route_completion | 0.182        |
|    success_rate     | 0            |
|    total_cost       | 1            |
| time/               |              |
|    total_timesteps  | 20000        |
| train/              |              |
|    actor_loss       | -10.8        |
|    critic_loss      | 0.00618      |
|    ent_coef         | 0.551        |
|    ent_coef_loss    | -2.01        |
|    learning_rate    | 0.0003       |
|    n_updates        | 1989         |
--------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.6e+03  |
|    ep_rew_mean     | 8.54     |
| time/              |          |
|    episodes        | 2        |
|    fps             | 500      |
|    time_elapsed    | 40       |
|    total_timesteps | 20220    |
| train/             |          |
|    actor_loss      | -10.8    |
|    critic_loss     | 0.00714  |
|    ent_coef        | 0.547    |
|    ent_coef_loss   | -2.03    |
|    learning_rate   | 0.0003   |
|    n_updates       | 2011     |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.44e+03 |
|    ep_rew_mean     | 8.2      |
| time/              |          |
|    episodes        | 3        |
|    fps             | 508      |
|    time_elapsed    | 45       |
|    total_timesteps | 23050    |
| train/             |          |
|    actor_loss      | -11.5    |
|    critic_loss     | 0.00868  |
|    ent_coef        | 0.503    |
|    ent_coef_loss   | -2.32    |
|    learning_rate   | 0.0003   |
|    n_updates       | 2294     |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.77e+03 |
|    ep_rew_mean     | 12.4     |
| time/              |          |
|    episodes        | 4        |
