#{"t_start": 1742341573.479033, "env_id": "None"}
r,l,t
379.079214,9541,540.083133
0.668263,2965,495.821088
2.343311,803,514.345764

69392,540,108.429258
464.680894,550,129.155453
4-39365.500618,74953,455.785537
62.684003,963,479.884879
76.978696,490,502.757104
31.700723,366,524.665309
56.608497,472,547.564732
96,579,174.01667
145.924815,624,178.372957
66.083721,430,181.098026
138.079103,609,184.149308
65.137282,428,186.870975
62.002918,437,188.471123
60.159027,422,190.953933
65.019713,443,193.585438
62.002918,437,196.186903
44.107585,356,197.818565
52.239991,381,200.279539
64.508292,579,203.19181
57.790276,406,205.290745
64.546046,551,208.366592
66.481967,820,479.330276
53.846123,416,502.445737
52.471714,467,525.38887
64.67565,498,547.857285
1
200.477682,811,222.632496
64.595077,581,226.06056
64.546034,551,229.247381
44.343819,376,231.705911
129.969021,601,236.348012
59.569219,409,238.60661
64.683701,434,242.011559
62.002918,437,244.895272
110.475633,567,248.373721
54.879417,762,478.674297
17.979437,260,501.479882
53.306977,479,525.556407
36.063285,389,546.816395

28.710073,354,524.413895
51.992696,449,547.477169

59.569256,409,255.399006
136.32926,633,258.027078
59.129807,414,259.582922
44.300699,360,261.204044
66.083682,430,263.168534
67.088182,449,265.979405
138.079122,609,268.515713
64.508785,579,271.044398
64.626402,431,273.019159
48.778342,375,274.632396
44.489023,362,276.359373
127.396347,572,278.63482
54.494218,400,280.56526
257.511036,830,283.803053
57.790263,406,285.411289
44.486191,358,287.214282
52.096324,395,289.020119
52.096594,395,290.486737
59.569249,409,292.345231
65.497871,444,294.006478
57.790263,406,295.598015
44.489395,686,478.365208
17.988236,261,501.724021
31.407703,373,525.014877
31.592956,357,546.828882
