Using cpu device
Logging to runs\sac_metadrive\sac_metadrive_2025-03-18_16-46-04_d664e374\sac_metadrive_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 995      |
|    ep_rew_mean     | 2.92     |
| time/              |          |
|    episodes        | 1        |
|    fps             | 555      |
|    time_elapsed    | 17       |
|    total_timesteps | 9950     |
| train/             |          |
|    actor_loss      | -4.49    |
|    critic_loss     | 0.0203   |
|    ent_coef        | 0.952    |
|    ent_coef_loss   | -0.166   |
|    learning_rate   | 5e-05    |
|    n_updates       | 984      |
---------------------------------
--------------------------------------
| eval/               |              |
|    arrive_dest      | 0            |
|    crash            | 0            |
|    max_step         | 0            |
|    mean_ep_length   | 1.05e+03     |
|    mean_reward      | 50.1         |
|    num_episodes     | 5            |
|    out_of_road      | 1            |
|    raw_action       | 0.0027525588 |
|    route_completion | 0.182        |
|    success_rate     | 0            |
|    total_cost       | 1            |
| time/               |              |
|    total_timesteps  | 10000        |
| train/              |              |
|    actor_loss       | -4.51        |
|    critic_loss      | 0.0596       |
|    ent_coef         | 0.952        |
|    ent_coef_loss    | -0.167       |
|    learning_rate    | 5e-05        |
|    n_updates        | 989          |
--------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.44e+03 |
|    ep_rew_mean     | 8.08     |
| time/              |          |
|    episodes        | 2        |
|    fps             | 452      |
|    time_elapsed    | 41       |
|    total_timesteps | 18820    |
| train/             |          |
|    actor_loss      | -6.18    |
|    critic_loss     | 0.0218   |
|    ent_coef        | 0.911    |
|    ent_coef_loss   | -0.314   |
|    learning_rate   | 5e-05    |
|    n_updates       | 1871     |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.27e+03 |
|    ep_rew_mean     | 7.15     |
| time/              |          |
|    episodes        | 3        |
|    fps             | 452      |
|    time_elapsed    | 42       |
|    total_timesteps | 19260    |
| train/             |          |
|    actor_loss      | -6.29    |
|    critic_loss     | 0.0233   |
|    ent_coef        | 0.909    |
|    ent_coef_loss   | -0.321   |
|    learning_rate   | 5e-05    |
|    n_updates       | 1915     |
---------------------------------
